Student_ID,Age,Gender,Nationality,Program,Major_Specialization,Year_of_Study,Enrollment_Type,GPA,High_School_GPA,SAT_Score,Credits_Completed,Credits_This_Semester,Scholarship_Status,Scholarship_Amount,Accommodation_Type,Distance_From_Campus_km,Attendance_Rate,Study_Hours_Per_Week,Part_Time_Job,Weekly_Work_Hours,Internship_Completed,Internship_Count,Clubs_Joined,Leadership_Role,Online_Courses_Taken,Research_Participation,Publications_Count,Exchange_Program,English_Proficiency_Score,Financial_Aid,Family_Income,Parental_Education_Level,Health_Insurance,Mental_Health_Support_Used,Academic_Probation,Dropout_Risk_Score,Graduation_Expected_Year,Employment_Offer,Starting_Salary_Offer
44,30,Male,Canada,Economics,Cybersecurity,4,FullTime,3.21,3.35,1363,89,17,No,,OffCampus,7.3,99.6,21,Yes,9,Yes,2,6,No,12,No,1,No,112.0,Yes,170742.0,Bachelor,No,No,No,0.597,2032,Yes,96182
45,21,Male,UAE,Business,Finance,3,PartTime,3.49,2.91,1353,16,9,No,0,OnCampus,34.4,60.1,44,Yes,8,Yes,4,2,No,2,Yes,2,Yes,64.0,Yes,,Master,Yes,No,No,0.534,2033,Yes,27603
46,32,Female,Germany,Economics,Civil,4,FullTime,2.25,2.82,1197,106,17,No,0,WithFamily,3.0,75.9,12,Yes,27,No,4,1,Yes,0,Yes,1,No,110.0,Yes,265607.0,HighSchool,No,No,No,0.102,2034,No,
47,28,Male,Australia,Business,Statistics,5,FullTime,2.71,2.86,1087,20,9,No,0,WithFamily,6.7,75.8,36,No,23,Yes,1,2,No,10,No,3,No,77.0,Yes,206439.0,Master,No,No,No,0.072,2027,Yes,
48,29,Female,UAE,Physics,Robotics,4,FullTime,3.06,3.42,,89,10,Yes,20497,OffCampus,36.4,95.6,7,No,27,Yes,3,4,No,4,No,0,Yes,61.0,Yes,25595.0,Bachelor,No,No,No,0.13,2033,Yes,
49,23,Female,Germany,Engineering,Civil,3,FullTime,3.14,2.84,1250,3,9,No,0,OffCampus,19.7,77.3,10,Yes,28,No,0,2,Yes,2,No,3,Yes,91.0,Yes,188793.0,Bachelor,Yes,No,No,0.139,2029,No,0
50,30,Male,Brazil,Business,Cybersecurity,1,FullTime,3.9,2.87,1582,58,18,Yes,37823,WithFamily,40.6,,36,No,29,No,2,0,Yes,7,Yes,1,Yes,98.0,Yes,276263.0,Bachelor,No,No,No,0.585,2033,No,0
51,33,Male,Canada,Mathematics,Statistics,5,FullTime,2.06,3.16,,132,14,No,,WithFamily,23.0,69.7,30,No,25,Yes,1,6,No,7,Yes,1,Yes,76.0,Yes,244130.0,PhD,Yes,No,No,1.0,2030,Yes,65897
52,23,Male,China,Economics,Marketing,3,FullTime,3.87,2.66,1002,9,13,No,,OffCampus,35.1,61.4,19,Yes,16,No,2,5,No,9,No,1,Yes,76.0,Yes,271701.0,PhD,Yes,No,No,0.994,2030,Yes,3809
53,31,Male,China,Engineering,Robotics,1,FullTime,2.48,4.0,1377,138,13,Yes,32093,WithFamily,49.2,91.7,45,No,22,No,1,4,No,0,No,2,No,76.0,No,70182.0,Master,No,Yes,No,0.925,2026,No,0
54,24,Male,Canada,Engineering,Statistics,3,PartTime,2.8,2.53,1214,126,19,Yes,14724,WithFamily,4.2,68.4,37,Yes,29,No,4,0,Yes,13,Yes,3,Yes,97.0,No,261862.0,HighSchool,No,No,No,0.776,2026,No,
55,28,Male,Australia,Engineering,Civil,1,FullTime,2.26,3.84,1270,132,11,Yes,,WithFamily,8.7,77.2,40,Yes,10,No,4,1,Yes,5,No,0,No,116.0,Yes,100105.0,HighSchool,No,No,No,0.244,2030,Yes,148931
56,24,Female,UAE,Mathematics,Finance,4,PartTime,3.67,2.97,1356,66,10,No,0,OffCampus,8.7,74.5,7,No,24,No,1,7,Yes,14,Yes,2,Yes,112.0,No,250849.0,PhD,Yes,No,Yes,0.257,2033,Yes,
57,18,Male,Germany,Mathematics,Robotics,1,PartTime,3.61,3.73,1535,81,18,No,,OffCampus,5.0,89.2,24,No,14,No,1,4,Yes,0,No,2,Yes,76.0,No,99515.0,Master,No,No,No,0.345,2032,No,0
58,28,Male,India,Engineering,Data Science,4,FullTime,3.6,2.87,1111,126,20,No,,WithFamily,40.2,65.3,23,No,21,No,2,7,Yes,14,Yes,0,No,67.0,Yes,153821.0,HighSchool,No,No,No,0.43,2034,Yes,
59,22,Male,China,Computer Science,Robotics,5,FullTime,3.15,,1175,141,19,No,0,WithFamily,11.9,88.1,17,No,21,No,0,3,Yes,8,Yes,3,Yes,78.0,No,226354.0,HighSchool,Yes,No,Yes,0.027,2030,Yes,38781
60,34,Female,Germany,Economics,Marketing,2,PartTime,3.36,2.47,1200,74,9,No,0,OffCampus,3.2,91.8,42,No,27,No,2,7,Yes,13,Yes,3,Yes,110.0,Yes,,PhD,No,No,No,0.235,2030,No,0
61,29,Male,Germany,AI,Robotics,1,FullTime,3.7,3.26,1176,34,11,No,0,WithFamily,7.8,98.8,44,No,,No,0,3,No,3,Yes,3,Yes,113.0,Yes,278670.0,Bachelor,Yes,No,Yes,0.618,2027,No,0
62,34,Female,UK,AI,Robotics,5,PartTime,3.6,3.06,990,30,20,No,0,OnCampus,41.8,86.8,20,Yes,24,Yes,4,1,No,2,No,0,No,98.0,Yes,263349.0,HighSchool,No,No,Yes,0.381,2026,Yes,42993
63,18,Male,UAE,AI,Cybersecurity,1,FullTime,3.47,3.7,1535,48,20,No,,OnCampus,41.2,77.9,15,Yes,13,No,2,5,Yes,4,Yes,3,No,92.0,Yes,201778.0,Master,Yes,No,Yes,0.0,2028,Yes,
64,29,Female,USA,AI,Statistics,1,FullTime,3.66,2.92,952,1,15,No,0,OnCampus,0.0,70.8,7,No,3,Yes,4,3,No,7,No,2,No,119.0,Yes,64205.0,PhD,Yes,Yes,No,0.329,2027,No,0
65,26,Female,UK,Economics,Finance,3,FullTime,2.55,3.93,1054,111,9,No,0,OffCampus,17.9,91.7,18,Yes,7,Yes,4,4,Yes,9,Yes,2,No,96.0,No,215744.0,PhD,Yes,No,Yes,0.481,2032,No,0
66,33,Male,India,Physics,Statistics,3,FullTime,2.81,3.22,1188,108,11,No,,WithFamily,8.5,71.6,24,Yes,1,Yes,4,2,Yes,5,No,2,Yes,70.0,Yes,96497.0,Bachelor,No,Yes,No,0.234,2029,No,
67,34,Female,China,Economics,Finance,1,FullTime,2.12,,932,112,15,Yes,30429,OnCampus,32.6,93.5,6,No,24,No,4,0,Yes,4,No,3,Yes,98.0,No,286946.0,PhD,Yes,No,No,0.51,2029,No,0
68,20,Female,France,Physics,Civil,1,FullTime,3.83,3.1,1374,121,19,No,0,WithFamily,25.6,,5,No,28,Yes,1,3,No,4,No,1,Yes,84.0,No,42766.0,HighSchool,Yes,No,No,0.289,2031,Yes,
69,20,Male,Canada,Economics,Civil,5,FullTime,3.35,3.59,1066,7,14,No,0,OffCampus,43.3,67.7,18,No,25,Yes,3,1,Yes,0,No,1,No,83.0,No,32162.0,HighSchool,Yes,Yes,No,0.139,2031,Yes,132025
70,28,Male,UAE,Mathematics,Civil,2,FullTime,2.56,3.85,1220,156,13,No,0,WithFamily,,90.3,,No,6,No,1,7,No,8,No,3,No,76.0,Yes,220399.0,Master,Yes,No,No,0.529,2034,Yes,50666
71,24,Female,USA,Business,Marketing,4,FullTime,3.89,3.89,,131,12,No,0,OffCampus,31.8,74.1,31,Yes,20,Yes,4,7,Yes,10,Yes,3,No,67.0,No,160338.0,PhD,No,No,No,0.584,2027,Yes,
72,26,Male,UK,Engineering,Finance,1,FullTime,3.7,3.84,1341,13,13,Yes,38861,OffCampus,1.6,68.9,44,Yes,22,No,2,7,No,3,No,0,Yes,79.0,Yes,194194.0,Bachelor,No,No,No,0.387,2030,No,0
73,19,Female,UAE,Engineering,Data Science,1,FullTime,3.56,2.92,1571,144,11,No,0,OffCampus,42.2,80.2,29,No,8,No,3,7,No,12,No,1,No,70.0,Yes,,Master,Yes,No,No,0.867,2031,No,0
74,20,Male,France,AI,Cybersecurity,4,FullTime,3.19,2.56,,53,11,No,0,OffCampus,9.5,97.5,42,No,,Yes,4,7,No,7,No,0,Yes,101.0,No,61806.0,PhD,No,No,No,0.61,2027,Yes,40369
75,28,Male,Brazil,Computer Science,Marketing,3,PartTime,3.04,3.28,1313,53,12,Yes,47424,WithFamily,16.3,65.6,6,No,5,Yes,2,4,No,0,Yes,3,No,77.0,No,24186.0,Master,No,No,No,0.063,2028,Yes,53099
76,20,Female,China,Computer Science,Robotics,1,FullTime,3.92,2.79,1111,41,10,No,0,WithFamily,35.0,100.0,35,No,53,No,0,3,No,1,No,1,No,67.0,No,212139.0,Bachelor,Yes,No,No,0.732,2031,No,
77,23,Female,UAE,Engineering,Robotics,3,PartTime,3.68,3.56,1497,131,17,Yes,,OffCampus,9.0,90.8,43,No,,Yes,4,5,No,13,Yes,0,Yes,105.0,Yes,27116.0,Bachelor,Yes,No,No,0.97,2033,No,0
78,26,Male,China,Mathematics,Marketing,1,PartTime,3.07,2.92,,16,14,No,0,OnCampus,30.4,73.8,26,Yes,6,No,4,6,No,1,No,2,Yes,88.0,No,194450.0,Bachelor,No,No,No,0.102,2026,Yes,32863
79,31,Male,Australia,Engineering,Civil,3,FullTime,2.11,,1433,91,13,No,0,WithFamily,20.1,81.4,32,Yes,25,No,2,3,No,2,No,1,Yes,91.0,No,162074.0,HighSchool,Yes,No,No,0.146,2032,No,0
80,23,Female,Australia,Engineering,Civil,2,PartTime,2.82,2.54,,62,17,Yes,29336,OnCampus,18.9,71.5,25,No,23,Yes,0,4,No,1,No,3,No,110.0,Yes,34423.0,,No,No,No,0.689,2031,No,0
81,23,Male,Australia,Business,Civil,4,PartTime,3.32,3.19,,0,10,No,0,OffCampus,34.3,99.6,19,Yes,14,Yes,3,4,No,8,No,0,No,86.0,No,231170.0,Bachelor,Yes,No,No,0.912,2032,Yes,95638
82,29,Male,UK,Physics,Marketing,2,PartTime,3.88,3.74,1502,4,16,No,0,OnCampus,13.9,72.2,28,Yes,12,Yes,0,3,Yes,8,Yes,1,Yes,76.0,No,42600.0,PhD,No,No,No,0.036,2030,No,
83,23,Female,Brazil,Business,Marketing,2,FullTime,3.42,3.1,1369,3,13,No,0,OffCampus,14.5,76.0,38,No,9,No,0,6,Yes,2,Yes,1,No,76.0,No,800000.0,Master,Yes,No,No,0.672,2028,No,0
84,34,Male,UAE,Physics,Finance,1,FullTime,3.33,2.67,1359,107,17,Yes,45722,OnCampus,37.2,96.1,16,No,,Yes,2,6,No,5,Yes,2,Yes,105.0,No,148776.0,PhD,Yes,No,No,0.102,2028,Yes,89362
85,31,Female,China,Engineering,Cybersecurity,3,FullTime,1.95,,942,150,13,No,0,OffCampus,24.6,75.7,22,No,2,No,2,1,No,5,No,3,Yes,66.0,Yes,76670.0,Master,Yes,No,No,0.232,2030,No,0
86,27,Female,Brazil,Engineering,Data Science,2,FullTime,1.96,2.4,1249,175,10,Yes,42024,WithFamily,28.1,,46,No,2,Yes,1,1,No,1,Yes,1,Yes,116.0,Yes,31840.0,PhD,Yes,No,No,0.883,2032,Yes,108920
87,20,Female,Canada,Engineering,Robotics,4,PartTime,3.56,2.5,1543,94,16,No,,OnCampus,20.0,86.1,22,Yes,9,No,0,4,No,7,No,1,Yes,81.0,No,120674.0,HighSchool,No,No,No,0.519,2026,Yes,
88,20,Male,USA,AI,Cybersecurity,1,FullTime,2.25,2.74,1430,85,13,Yes,2465,OffCampus,24.7,74.4,44,No,3,Yes,4,3,Yes,1,No,3,Yes,65.0,Yes,76643.0,PhD,No,No,No,0.737,2030,No,
89,18,Female,Canada,Computer Science,Finance,4,FullTime,2.53,2.49,1131,84,16,No,0,OnCampus,45.1,87.6,14,No,8,No,4,1,Yes,9,No,3,Yes,118.0,Yes,236335.0,HighSchool,No,No,No,0.581,2029,Yes,
90,32,Female,Canada,Economics,Civil,5,PartTime,3.02,3.06,1398,72,11,Yes,39934,OnCampus,38.5,63.2,16,Yes,6,No,2,6,No,7,No,3,Yes,80.0,Yes,182215.0,HighSchool,Yes,No,No,0.407,2033,No,0
91,30,Male,Brazil,Mathematics,Robotics,1,PartTime,3.33,2.63,1002,34,20,Yes,45151,WithFamily,9.1,83.0,8,Yes,23,No,3,2,No,8,Yes,2,No,73.0,No,71895.0,Bachelor,No,Yes,No,0.252,2033,Yes,55205
92,33,Female,France,AI,Cybersecurity,5,PartTime,3.15,3.64,1471,54,19,No,0,OffCampus,22.5,64.2,5,No,10,Yes,0,2,No,2,Yes,0,Yes,95.0,Yes,163979.0,PhD,No,No,No,0.504,2027,Yes,71788
93,22,Male,Germany,Mathematics,Robotics,5,PartTime,2.27,3.15,1210,61,10,Yes,33570,WithFamily,48.1,68.7,27,No,25,No,0,2,Yes,0,No,1,Yes,105.0,No,,PhD,No,No,No,0.955,2032,Yes,2627
94,25,Female,Germany,Mathematics,Statistics,2,FullTime,2.1,3.81,,32,12,Yes,42594,OffCampus,,82.8,28,No,7,No,4,2,No,4,Yes,0,No,107.0,No,146764.0,Bachelor,No,No,No,0.62,2026,No,0
95,30,Male,UK,Engineering,Statistics,4,PartTime,3.39,2.62,952,65,9,No,0,OffCampus,21.2,77.7,13,Yes,11,No,2,0,Yes,13,Yes,0,Yes,104.0,No,74795.0,PhD,No,Yes,Yes,0.036,2027,Yes,5919
96,31,Female,UAE,Computer Science,Civil,3,FullTime,2.23,2.88,1428,109,15,No,0,OffCampus,14.6,,43,Yes,,Yes,4,4,No,12,No,2,Yes,96.0,No,216467.0,Bachelor,Yes,No,No,0.778,2033,No,0
97,32,Male,Brazil,Physics,Marketing,4,FullTime,2.73,2.64,1394,14,18,No,0,OffCampus,26.0,92.5,15,Yes,21,Yes,1,1,No,9,No,2,Yes,89.0,Yes,54593.0,Bachelor,Yes,Yes,No,0.997,2029,Yes,106808
98,25,Male,France,Economics,Data Science,3,FullTime,2.47,3.0,949,123,14,No,0,OnCampus,35.2,84.4,19,No,23,Yes,0,5,No,4,Yes,3,Yes,86.0,Yes,83644.0,HighSchool,No,No,No,0.714,2028,No,0
99,30,Male,UAE,Business,Finance,4,PartTime,4.0,2.58,,154,11,No,0,OffCampus,1.1,77.6,,Yes,29,Yes,2,4,No,5,Yes,2,Yes,99.0,No,57855.0,Bachelor,Yes,No,No,0.429,2034,Yes,98859
100,34,Male,China,Business,Cybersecurity,3,PartTime,2.41,3.54,1084,129,9,Yes,,OffCampus,22.0,66.1,7,No,23,No,3,7,No,8,No,3,Yes,85.0,No,166060.0,HighSchool,Yes,No,No,0.218,2028,No,
101,17,Male,India,Engineering,Cybersecurity,2,FullTime,4.0,2.72,1398,166,12,Yes,26040,OnCampus,21.5,72.5,37,Yes,20,No,4,5,No,13,No,3,No,108.0,Yes,140594.0,PhD,Yes,No,No,0.771,2029,No,0
102,20,Male,Australia,Mathematics,Statistics,5,FullTime,2.48,2.55,1142,67,13,No,0,WithFamily,0.0,72.1,19,No,,No,0,5,Yes,2,Yes,0,Yes,81.0,No,279624.0,HighSchool,No,No,No,0.312,2029,Yes,123353
103,18,Male,Canada,Economics,Statistics,4,FullTime,3.8,3.45,1548,2,13,Yes,,WithFamily,17.9,85.4,34,Yes,26,No,0,2,Yes,7,Yes,1,Yes,79.0,No,197392.0,PhD,Yes,No,No,0.801,2028,Yes,127686
104,21,Male,Brazil,Physics,Statistics,2,PartTime,3.43,3.73,1196,114,20,No,0,OffCampus,0.7,78.5,11,Yes,25,No,1,5,No,6,Yes,3,Yes,118.0,No,103204.0,,Yes,No,No,0.419,2030,No,0
105,24,Male,France,Economics,Data Science,5,FullTime,2.85,3.03,1361,10,20,Yes,15948,OffCampus,10.1,74.1,26,No,17,No,3,4,No,8,Yes,3,No,66.0,No,,Bachelor,Yes,No,No,0.456,2026,Yes,
106,23,Male,France,Mathematics,Statistics,1,FullTime,3.15,,1049,65,18,Yes,21619,WithFamily,29.4,86.7,19,Yes,7,Yes,1,5,Yes,10,Yes,2,Yes,83.0,Yes,23296.0,HighSchool,Yes,No,No,0.075,2027,No,0
107,18,Female,Germany,Mathematics,Finance,5,PartTime,2.55,3.44,1637,43,13,No,0,OnCampus,28.5,100.0,35,Yes,21,No,1,3,No,12,Yes,1,Yes,114.0,No,258436.0,PhD,No,No,No,0.241,2030,Yes,13351
108,29,Male,Germany,Engineering,Robotics,1,FullTime,3.49,3.42,1007,137,13,Yes,8855,WithFamily,,85.5,33,Yes,7,No,4,4,No,2,Yes,2,No,103.0,Yes,79484.0,,No,No,No,0.126,2027,Yes,136262
